"well","value","type","plate","replicate","pct_effect"
"1","J1",1274.3728,"0.2ng/ml IL15","14","b",-1.32881709223554
"2","K1",18194.6896,"10ng/ml IL15","14","b",80.2761855132882
"3","M1",1836.2224,"0.2ng/ml IL15","14","b",1.38092756644085
"4","N1",22851.5584,"10ng/ml IL15","14","b",102.735799895779
"5","J2",1425.64,"0.2ng/ml IL15","14","b",-0.599270453361126
"6","K2",25704.0256,"10ng/ml IL15","14","b",116.492965085982
"7","M2",1663.3456,"0.2ng/ml IL15","14","b",0.54715997915581
"8","N2",22386.952,"10ng/ml IL15","14","b",100.495049504951
"9","A3",1079.8864,"drug","14","b",-2.26680562793121
"10","B3",1047.472,"drug","14","b",-2.42313705054716
"11","C3",615.28,"drug","14","b",-4.50755601875977
"12","D3",1112.3008,"drug","14","b",-2.11047420531527
"13","E3",917.8144,"drug","14","b",-3.04846274101094
"14","F3",863.7904,"drug","14","b",-3.30901511203752
"15","G3",1187.9344,"drug","14","b",-1.74570088587806
"16","H3",1241.9584,"drug","14","b",-1.48514851485149
"17","I3",1123.1056,"drug","14","b",-2.05836373110995
"18","J3",1998.2944,"drug","14","b",2.16258467952058
"19","K3",2073.928,"drug","14","b",2.52735799895779
"20","L3",2084.7328,"drug","14","b",2.57946847316311
"21","M3",2290.024,"drug","14","b",3.56956748306409
"22","N3",1328.3968,"drug","14","b",-1.06826472120896
"23","O3",1598.5168,"drug","14","b",0.234497133923918
"24","P3",755.7424,"drug","14","b",-3.83011985409067
"25","A4",1328.3968,"drug","14","b",-1.06826472120896
"26","B4",1166.3248,"drug","14","b",-1.84992183428869
"27","C4",1782.1984,"drug","14","b",1.12037519541428
"28","D4",1555.2976,"drug","14","b",0.0260552371026574
"29","E4",528.8416,"drug","14","b",-4.92443981240229
"30","F4",2603.3632,"drug","14","b",5.08077123501824
"31","G4",1522.8832,"drug","14","b",-0.130276185513289
"32","H4",2127.952,"drug","14","b",2.78791036998437
"33","I4",2149.5616,"drug","14","b",2.892131318395
"34","J4",1533.688,"drug","14","b",-0.0781657113079732
"35","K4",2257.6096,"drug","14","b",3.41323606044815
"36","L4",1728.1744,"drug","14","b",0.859822824387702
"37","M4",1987.4896,"drug","14","b",2.11047420531527
"38","N4",2624.9728,"drug","14","b",5.18499218342887
"39","O4",582.8656,"drug","14","b",-4.66388744137572
"40","P4",593.6704,"drug","14","b",-4.6117769671704
"41","A5",1252.7632,"drug","14","b",-1.43303804064617
"42","B5",2095.5376,"drug","14","b",2.63157894736842
"43","C5",1371.616,"drug","14","b",-0.859822824387703
"44","D5",2398.072,"drug","14","b",4.09067222511725
"45","E5",1436.4448,"drug","14","b",-0.547159979155811
"46","F5",712.5232,"drug","14","b",-4.03856175091193
"47","G5",2300.8288,"drug","14","b",3.62167795726941
"48","H5",1015.0576,"drug","14","b",-2.57946847316311
"49","I5",2635.7776,"drug","14","b",5.23710265763418
