"well","value","type","plate","replicate","pct_effect"
"1","J1",3345.51645,"0.2ng/ml IL15","8","a",1.55343120518948
"2","K1",18412.54965,"10ng/ml IL15","8","a",78.8494366678047
"3","M1",2573.53065,"0.2ng/ml IL15","8","a",-2.40696483441448
"4","N1",22312.40895,"10ng/ml IL15","8","a",98.8562649368385
"5","J2",3611.71845,"0.2ng/ml IL15","8","a",2.91908501194947
"6","K2",29340.14175,"10ng/ml IL15","8","a",134.909525435302
"7","M2",2640.08115,"0.2ng/ml IL15","8","a",-2.06555138272448
"8","N2",20076.31215,"10ng/ml IL15","8","a",87.3847729600546
"9","A3",4250.60325,"drug","8","a",6.19665414817344
"10","B3",4117.50225,"drug","8","a",5.51382724479344
"11","C3",2892.97305,"drug","8","a",-0.768180266302492
"12","D3",3412.06695,"drug","8","a",1.89484465687948
"13","E3",2759.87205,"drug","8","a",-1.45100716968249
"14","F3",2573.53065,"drug","8","a",-2.40696483441448
"15","G3",2613.46095,"drug","8","a",-2.20211676340048
"16","H3",2520.29025,"drug","8","a",-2.68009559576647
"17","I3",2214.15795,"drug","8","a",-4.25059747354046
"18","J3",2520.29025,"drug","8","a",-2.68009559576647
"19","K3",2227.46805,"drug","8","a",-4.18231478320246
"20","L3",1788.23475,"drug","8","a",-6.43564356435643
"21","M3",2680.01145,"drug","8","a",-1.86070331171048
"22","N3",1881.40545,"drug","8","a",-5.95766473199044
"23","O3",1748.30445,"drug","8","a",-6.64049163537043
"24","P3",3159.17505,"drug","8","a",0.597473540457493
"25","A4",2879.66295,"drug","8","a",-0.836462956640492
"26","B4",2826.42255,"drug","8","a",-1.10959371799249
"27","C4",2387.18925,"drug","8","a",-3.36292249914647
"28","D4",2719.94175,"drug","8","a",-1.65585524069648
"29","E4",2067.74685,"drug","8","a",-5.00170706725845
"30","F4",1522.03275,"drug","8","a",-7.80129737111642
"31","G4",2666.70135,"drug","8","a",-1.92898600204848
"32","H4",2041.12665,"drug","8","a",-5.13827244793445
"33","I4",2001.19635,"drug","8","a",-5.34312051894845
"34","J4",1109.41965,"drug","8","a",-9.9180607715944
"35","K4",1814.85495,"drug","8","a",-6.29907818368044
"36","L4",1774.92465,"drug","8","a",-6.50392625469444
"37","M4",1828.16505,"drug","8","a",-6.23079549334244
"38","N4",1695.06405,"drug","8","a",-6.91362239672243
"39","O4",2014.50645,"drug","8","a",-5.27483782861045
"40","P4",3079.31445,"drug","8","a",0.187777398429497
"41","A5",3412.06695,"drug","8","a",1.89484465687948
"42","B5",2733.25185,"drug","8","a",-1.58757255035848
"43","C5",2333.94885,"drug","8","a",-3.63605326049846
"44","D5",2453.73975,"drug","8","a",-3.02150904745647
"45","E5",1934.64585,"drug","8","a",-5.68453397063844
"46","F5",2174.22765,"drug","8","a",-4.45544554455446
"47","G5",1309.07115,"drug","8","a",-8.89382041652441
"48","H5",1042.86915,"drug","8","a",-10.2594742232844
"49","I5",1335.69135,"drug","8","a",-8.75725503584841
"50","J5",1522.03275,"drug","8","a",-7.80129737111642
"51","K5",1774.92465,"drug","8","a",-6.50392625469444
"52","L5",1854.78525,"drug","8","a",-6.09423011266644
"53","M5",1881.40545,"drug","8","a",-5.95766473199044
"54","N5",2014.50645,"drug","8","a",-5.27483782861045
"55","O5",1828.16505,"drug","8","a",-6.23079549334244
"56","P5",2427.11955,"drug","8","a",-3.15807442813247
"57","A6",3278.96595,"drug","8","a",1.21201775349949
"58","B6",2400.49935,"drug","8","a",-3.29463980880847
"59","C6",1908.02565,"drug","8","a",-5.82109935131444
"60","D6",1508.72265,"drug","8","a",-7.86958006145442
"61","E6",1069.48935,"drug","8","a",-10.1229088426084
"62","F6",1588.58325,"drug","8","a",-7.45988391942642
"63","G6",1721.68425,"drug","8","a",-6.77705701604643
"64","H6",1575.27315,"drug","8","a",-7.52816660976442
"65","I6",590.32575,"drug","8","a",-12.5810856947764
"66","J6",1814.85495,"drug","8","a",-6.29907818368044
"67","K6",1681.75395,"drug","8","a",-6.98190508706043
"68","L6",1402.24185,"drug","8","a",-8.41584158415841
"69","M6",1868.09535,"drug","8","a",-6.02594742232844
"70","N6",2254.08825,"drug","8","a",-4.04574940252646
"71","O6",2453.73975,"drug","8","a",-3.02150904745647
"72","P6",3478.61745,"drug","8","a",2.23625810856948
"73","A7",3132.55485,"drug","8","a",0.460908159781495
"74","B7",2294.01855,"drug","8","a",-3.84090133151246
"75","C7",2240.77815,"drug","8","a",-4.11403209286446
"76","D7",1042.86915,"drug","8","a",-10.2594742232844
"77","E7",1375.62165,"drug","8","a",-8.55240696483441
"78","F7",1482.10245,"drug","8","a",-8.00614544213042
"79","G7",1335.69135,"drug","8","a",-8.75725503584841
"80","H7",1601.89335,"drug","8","a",-7.39160122908843
"81","I7",1029.55905,"drug","8","a",-10.3277569136224
"82","J7",1535.34285,"drug","8","a",-7.73301468077842
"83","K7",1668.44385,"drug","8","a",-7.05018777739843
"84","L7",1016.24895,"drug","8","a",-10.3960396039604
"85","M7",2200.84785,"drug","8","a",-4.31888016387846
"86","N7",2373.87915,"drug","8","a",-3.43120518948446
"87","O7",1402.24185,"drug","8","a",-8.41584158415841
"88","P7",2480.35995,"drug","8","a",-2.88494366678047
"89","A8",3026.07405,"drug","8","a",-0.0853533629224983
"90","B8",2094.36705,"drug","8","a",-4.86514168658245
