"well","value","type","plate","replicate","pct_effect"
"1","J1",2114.0793,"0.2ng/ml IL15","11","a",7.13881019830028
"2","K1",10527.8199,"10ng/ml IL15","11","a",91.9735599622285
"3","M1",1177.5543,"0.2ng/ml IL15","11","a",-2.30406043437205
"4","N1",11696.6031,"10ng/ml IL15","11","a",103.758262511804
"5","J2",1215.0153,"0.2ng/ml IL15","11","a",-1.92634560906515
"6","K2",10924.9065,"10ng/ml IL15","11","a",95.9773371104816
"7","M2",1117.6167,"0.2ng/ml IL15","11","a",-2.90840415486308
"8","N2",12146.1351,"10ng/ml IL15","11","a",108.290840415486
"9","A3",2263.9233,"drug","11","a",8.64966949952786
"10","B3",1791.9147,"drug","11","a",3.890462700661
"11","C3",1604.6097,"drug","11","a",2.00188857412653
"12","D3",1979.2197,"drug","11","a",5.77903682719547
"13","E3",1687.0239,"drug","11","a",2.8328611898017
"14","F3",1956.7431,"drug","11","a",5.55240793201133
"15","G3",1215.0153,"drug","11","a",-1.92634560906515
"16","H3",1244.9841,"drug","11","a",-1.62417374881964
"17","I3",1484.7345,"drug","11","a",0.793201133144477
"18","J3",1806.8991,"drug","11","a",4.04154863078376
"19","K3",1304.9217,"drug","11","a",-1.01983002832861
"20","L3",1544.6721,"drug","11","a",1.39754485363551
"21","M3",548.2095,"drug","11","a",-8.64966949952785
"22","N3",750.4989,"drug","11","a",-6.61000944287063
"23","O3",982.7571,"drug","11","a",-4.26817752596789
"24","P3",1537.1799,"drug","11","a",1.32200188857413
"25","A4",1881.8211,"drug","11","a",4.79697828139754
"26","B4",1402.3203,"drug","11","a",-0.0377714825306877
"27","C4",1499.7189,"drug","11","a",0.944287063267235
"28","D4",817.9287,"drug","11","a",-5.93012275731822
"29","E4",1327.3983,"drug","11","a",-0.793201133144475
"30","F4",862.8819,"drug","11","a",-5.47686496694995
"31","G4",1439.7813,"drug","11","a",0.339943342776206
"32","H4",1402.3203,"drug","11","a",-0.0377714825306877
"33","I4",1282.4451,"drug","11","a",-1.24645892351275
"34","J4",990.2493,"drug","11","a",-4.19263456090652
"35","K4",1215.0153,"drug","11","a",-1.92634560906515
"36","L4",1027.7103,"drug","11","a",-3.81491973559962
"37","M4",832.9131,"drug","11","a",-5.77903682719547
"38","N4",787.9599,"drug","11","a",-6.23229461756374
"39","O4",967.7727,"drug","11","a",-4.41926345609065
"40","P4",997.7415,"drug","11","a",-4.11709159584514
"41","A5",1634.5785,"drug","11","a",2.30406043437205
"42","B5",1244.9841,"drug","11","a",-1.62417374881964
"43","C5",930.3117,"drug","11","a",-4.79697828139754
"44","D5",735.5145,"drug","11","a",-6.76109537299339
"45","E5",757.9911,"drug","11","a",-6.53446647780925
"46","F5",1207.5231,"drug","11","a",-2.00188857412653
