"well","value","type","plate","replicate","pct_effect"
"1","J1",2017.75755,"0.2ng/ml IL15","4","a",0.873138161273754
"2","K1",14112.52145,"10ng/ml IL15","4","a",88.6492039034412
"3","M1",1741.75065,"0.2ng/ml IL15","4","a",-1.12994350282486
"4","N1",15563.32695,"10ng/ml IL15","4","a",99.1782229070365
"5","J2",1720.51935,"0.2ng/ml IL15","4","a",-1.28402670775552
"6","K2",16490.42705,"10ng/ml IL15","4","a",105.906522855675
"7","M2",2109.75985,"0.2ng/ml IL15","4","a",1.54083204930662
"8","N2",16539.96675,"10ng/ml IL15","4","a",106.266050333847
"9","A3",3369.48365,"drug","4","a",10.6831022085259
"10","B3",3475.64015,"drug","4","a",11.4535182331793
"11","C3",3249.17295,"drug","4","a",9.80996404725218
"12","D3",1310.04755,"drug","4","a",-4.26296866974833
"13","E3",970.34675,"drug","4","a",-6.72829994863893
"14","F3",1614.36285,"drug","4","a",-2.05444273240883
"15","G3",1012.80935,"drug","4","a",-6.42013353877761
"16","H3",1260.50785,"drug","4","a",-4.62249614791988
"17","I3",1310.04755,"drug","4","a",-4.26296866974833
"18","J3",1515.28345,"drug","4","a",-2.77349768875193
"19","K3",1586.05445,"drug","4","a",-2.25988700564972
"20","L3",1805.44455,"drug","4","a",-0.667693888032872
"21","M3",1607.28575,"drug","4","a",-2.10580380071905
"22","N3",1317.12465,"drug","4","a",-4.21160760143811
"23","O3",1175.58265,"drug","4","a",-5.23882896764253
"24","P3",1621.43995,"drug","4","a",-2.00308166409861
"25","A4",2003.60335,"drug","4","a",0.770416024653313
"26","B4",1239.27655,"drug","4","a",-4.77657935285054
"27","C4",1076.50325,"drug","4","a",-5.95788392398562
"28","D4",1394.97275,"drug","4","a",-3.64663585002568
"29","E4",1939.90945,"drug","4","a",0.308166409861326
"30","F4",1373.74145,"drug","4","a",-3.80071905495634
"31","G4",1352.51015,"drug","4","a",-3.95480225988701
"32","H4",1026.96355,"drug","4","a",-6.31741140215717
"33","I4",1387.89565,"drug","4","a",-3.6979969183359
"34","J4",1734.67355,"drug","4","a",-1.18130457113508
"35","K4",2789.16145,"drug","4","a",6.47149460708783
"36","L4",1578.97735,"drug","4","a",-2.31124807395994
"37","M4",1465.74375,"drug","4","a",-3.13302516692347
"38","N4",1409.12695,"drug","4","a",-3.54391371340524
"39","O4",1862.06135,"drug","4","a",-0.256805341551105
"40","P4",2548.54005,"drug","4","a",4.72521828454032
"41","A5",1437.43535,"drug","4","a",-3.33846944016436
"42","B5",1437.43535,"drug","4","a",-3.33846944016436
"43","C5",1338.35595,"drug","4","a",-4.05752439650745
"44","D5",1472.82085,"drug","4","a",-3.08166409861325
"45","E5",1543.59185,"drug","4","a",-2.56805341551104
"46","F5",1508.20635,"drug","4","a",-2.82485875706215
"47","G5",1479.89795,"drug","4","a",-3.03030303030303
"48","H5",1621.43995,"drug","4","a",-2.00308166409861
"49","I5",2024.83465,"drug","4","a",0.924499229583975
"50","J5",1550.66895,"drug","4","a",-2.51669234720082
"51","K5",1479.89795,"drug","4","a",-3.03030303030303
"52","L5",1458.66665,"drug","4","a",-3.18438623523369
"53","M5",1862.06135,"drug","4","a",-0.256805341551105
"54","N5",1331.27885,"drug","4","a",-4.10888546481767
"55","O5",1274.66205,"drug","4","a",-4.51977401129944
"56","P5",1812.52165,"drug","4","a",-0.616332819722651
"57","A6",1897.44685,"drug","4","a",0
"58","B6",1564.82315,"drug","4","a",-2.41397021058038
"59","C6",1402.04985,"drug","4","a",-3.59527478171546
"60","D6",1614.36285,"drug","4","a",-2.05444273240883
"61","E6",1479.89795,"drug","4","a",-3.03030303030303
"62","F6",1331.27885,"drug","4","a",-4.10888546481767
"63","G6",1267.58495,"drug","4","a",-4.57113507960966
"64","H6",1387.89565,"drug","4","a",-3.6979969183359
