"well","value","type","plate","replicate","pct_effect"
"1","J1",1720.9407,"0.2ng/ml IL15","10","a",1.70894996476392
"2","K1",11091.5448,"10ng/ml IL15","10","a",105.232558139535
"3","M1",1586.9838,"0.2ng/ml IL15","10","a",0.229034531360112
"4","N1",10013.5107,"10ng/ml IL15","10","a",93.322762508809
"5","J2",1695.4251,"0.2ng/ml IL15","10","a",1.42706131078224
"6","K2",11786.8449,"10ng/ml IL15","10","a",112.914023960536
"7","M2",1261.6599,"0.2ng/ml IL15","10","a",-3.36504580690627
"8","N2",9579.7455,"10ng/ml IL15","10","a",88.5306553911205
"9","A3",2135.5692,"drug","10","a",6.28964059196617
"10","B3",2090.9169,"drug","10","a",5.79633544749824
"11","C3",1344.5856,"drug","10","a",-2.44890768146582
"12","D3",1663.5306,"drug","10","a",1.07470049330514
"13","E3",1478.5425,"drug","10","a",-0.968992248062015
"14","F3",1676.2884,"drug","10","a",1.21564482029598
"15","G3",1861.2765,"drug","10","a",3.25933756166314
"16","H3",1274.4177,"drug","10","a",-3.22410147991543
"17","I3",1076.6718,"drug","10","a",-5.40873854827343
"18","J3",1287.1755,"drug","10","a",-3.08315715292459
"19","K3",1657.1517,"drug","10","a",1.00422832980972
"20","L3",936.336,"drug","10","a",-6.95912614517266
"21","M3",866.1681,"drug","10","a",-7.73431994362227
"22","N3",1108.5663,"drug","10","a",-5.05637773079634
"23","O3",1127.703,"drug","10","a",-4.84496124031008
"24","P3",1414.7535,"drug","10","a",-1.67371388301621
"25","A4",2384.3463,"drug","10","a",9.03805496828753
"26","B4",1810.2453,"drug","10","a",2.69556025369979
"27","C4",1453.0269,"drug","10","a",-1.25088090204369
"28","D4",1669.9095,"drug","10","a",1.14517265680056
"29","E4",764.1057,"drug","10","a",-8.86187455954898
"30","F4",1083.0507,"drug","10","a",-5.33826638477801
"31","G4",1217.0076,"drug","10","a",-3.85835095137421
"32","H4",1044.7773,"drug","10","a",-5.76109936575053
"33","I4",1044.7773,"drug","10","a",-5.76109936575053
"34","J4",936.336,"drug","10","a",-6.95912614517266
"35","K4",885.3048,"drug","10","a",-7.52290345313601
"36","L4",1134.0819,"drug","10","a",-4.77448907681466
"37","M4",1421.1324,"drug","10","a",-1.60324171952079
"38","N4",1223.3865,"drug","10","a",-3.78787878787879
"39","O4",1255.281,"drug","10","a",-3.43551797040169
"40","P4",1657.1517,"drug","10","a",1.00422832980972
"41","A5",1733.6985,"drug","10","a",1.84989429175476
"42","B5",1740.0774,"drug","10","a",1.92036645525017
"43","C5",1089.4296,"drug","10","a",-5.26779422128259
"44","D5",1586.9838,"drug","10","a",0.229034531360112
"45","E5",1433.8902,"drug","10","a",-1.46229739252995
"46","F5",1146.8397,"drug","10","a",-4.63354474982382
"47","G5",1242.5232,"drug","10","a",-3.57646229739253
"48","H5",1217.0076,"drug","10","a",-3.85835095137421
"49","I5",796.0002,"drug","10","a",-8.50951374207188
"50","J5",1165.9764,"drug","10","a",-4.42212825933756
"51","K5",1370.1012,"drug","10","a",-2.16701902748414
"52","L5",1280.7966,"drug","10","a",-3.15362931642002
"53","M5",1382.859,"drug","10","a",-2.02607470049331
"54","N5",1370.1012,"drug","10","a",-2.16701902748414
"55","O5",1331.8278,"drug","10","a",-2.58985200845666
"56","P5",1599.7416,"drug","10","a",0.369978858350952
"57","A6",2263.1472,"drug","10","a",7.69908386187456
"58","B6",1689.0462,"drug","10","a",1.35658914728682
"59","C6",1210.6287,"drug","10","a",-3.92882311486963
"60","D6",2046.2646,"drug","10","a",5.3030303030303
"61","E6",1197.8709,"drug","10","a",-4.06976744186047
"62","F6",1421.1324,"drug","10","a",-1.60324171952079
"63","G6",1146.8397,"drug","10","a",-4.63354474982382
"64","H6",1114.9452,"drug","10","a",-4.98590556730091
"65","I6",929.9571,"drug","10","a",-7.02959830866808
"66","J6",1051.1562,"drug","10","a",-5.69062720225511
"67","K6",1223.3865,"drug","10","a",-3.78787878787879
"68","L6",1408.3746,"drug","10","a",-1.74418604651163
"69","M6",1204.2498,"drug","10","a",-3.99929527836505
"70","N6",1280.7966,"drug","10","a",-3.15362931642002
"71","O6",725.8323,"drug","10","a",-9.28470754052149
"72","P6",1159.5975,"drug","10","a",-4.49260042283298
"73","A7",2282.2839,"drug","10","a",7.91050035236082
"74","B7",1771.9719,"drug","10","a",2.27272727272727
"75","C7",1159.5975,"drug","10","a",-4.49260042283298
"76","D7",1287.1755,"drug","10","a",-3.08315715292459
"77","E7",1038.3984,"drug","10","a",-5.83157152924595
"78","F7",1204.2498,"drug","10","a",-3.99929527836505
"79","G7",1076.6718,"drug","10","a",-5.40873854827343
"80","H7",1102.1874,"drug","10","a",-5.12684989429175
"81","I7",1051.1562,"drug","10","a",-5.69062720225511
"82","J7",1012.8828,"drug","10","a",-6.11346018322762
"83","K7",993.7461,"drug","10","a",-6.32487667371388
"84","L7",1063.914,"drug","10","a",-5.54968287526427
"85","M7",1197.8709,"drug","10","a",-4.06976744186047
"86","N7",1516.8159,"drug","10","a",-0.546159267089499
"87","O7",1306.3122,"drug","10","a",-2.87174066243834
"88","P7",1306.3122,"drug","10","a",-2.87174066243834
"89","A8",2046.2646,"drug","10","a",5.3030303030303
"90","B8",1752.8352,"drug","10","a",2.06131078224101
"91","C8",1574.226,"drug","10","a",0.088090204369275
"92","D8",1299.9333,"drug","10","a",-2.94221282593376
"93","E8",1287.1755,"drug","10","a",-3.08315715292459
"94","F8",1000.125,"drug","10","a",-6.25440451021846
"95","G8",1395.6168,"drug","10","a",-1.88513037350247
"96","H8",1140.4608,"drug","10","a",-4.70401691331924
"97","I8",808.758,"drug","10","a",-8.36856941508104
"98","J8",1121.3241,"drug","10","a",-4.9154334038055
"99","K8",1204.2498,"drug","10","a",-3.99929527836505
"100","L8",1114.9452,"drug","10","a",-4.98590556730091
"101","M8",1963.3389,"drug","10","a",4.38689217758985
"102","N8",1363.7223,"drug","10","a",-2.23749119097956
"103","O8",1076.6718,"drug","10","a",-5.40873854827343
"104","P8",1280.7966,"drug","10","a",-3.15362931642002
"105","A9",1765.593,"drug","10","a",2.20225510923185
"106","B9",1689.0462,"drug","10","a",1.35658914728682
"107","C9",1178.7342,"drug","10","a",-4.28118393234672
"108","D9",923.5782,"drug","10","a",-7.10007047216349
"109","E9",993.7461,"drug","10","a",-6.32487667371388
"110","F9",980.9883,"drug","10","a",-6.46582100070472
"111","G9",1165.9764,"drug","10","a",-4.42212825933756
"112","H9",1121.3241,"drug","10","a",-4.9154334038055
"113","I9",974.6094,"drug","10","a",-6.53629316420014
"114","J9",853.4103,"drug","10","a",-7.87526427061311
"115","K9",1121.3241,"drug","10","a",-4.9154334038055
"116","L9",1095.8085,"drug","10","a",-5.19732205778717
"117","M9",1025.6406,"drug","10","a",-5.97251585623679
"118","N9",1223.3865,"drug","10","a",-3.78787878787879
"119","O9",1229.7654,"drug","10","a",-3.71740662438337
"120","P9",1331.8278,"drug","10","a",-2.58985200845666
"121","A10",1988.8545,"drug","10","a",4.66878083157153
"122","B10",1689.0462,"drug","10","a",1.35658914728682
"123","C10",1395.6168,"drug","10","a",-1.88513037350247
"124","D10",1038.3984,"drug","10","a",-5.83157152924595
"125","E10",764.1057,"drug","10","a",-8.86187455954898
"126","F10",1159.5975,"drug","10","a",-4.49260042283298
"127","G10",1038.3984,"drug","10","a",-5.83157152924595
"128","H10",993.7461,"drug","10","a",-6.32487667371388
"129","I10",1197.8709,"drug","10","a",-4.06976744186047
"130","J10",955.4727,"drug","10","a",-6.7477096546864
"131","K10",1127.703,"drug","10","a",-4.84496124031008
