"well","value","type","plate","replicate","pct_effect"
"1","J1",2306.4477,"0.2ng/ml IL15","11","b",6.41771742644682
"2","K1",10926.7698,"10ng/ml IL15","11","b",87.9566763659877
"3","M1",1376.7381,"0.2ng/ml IL15","11","b",-2.37633365664403
"4","N1",11781.2823,"10ng/ml IL15","11","b",96.0394439055933
"5","J2",1315.2132,"0.2ng/ml IL15","11","b",-2.95829291949564
"6","K2",12218.7927,"10ng/ml IL15","11","b",100.177820885871
"7","M2",1513.4601,"0.2ng/ml IL15","11","b",-1.08309085030714
"8","N2",13873.1289,"10ng/ml IL15","11","b",115.826058842548
"9","A3",2367.9726,"drug","11","b",6.99967668929842
"10","B3",1718.5431,"drug","11","b",0.856773359198191
"11","C3",1492.9518,"drug","11","b",-1.27707727125768
"12","D3",2005.6593,"drug","11","b",3.57258325250566
"13","E3",1554.4767,"drug","11","b",-0.695118008406078
"14","F3",1698.0348,"drug","11","b",0.662786938247656
"15","G3",1547.6406,"drug","11","b",-0.759780148722922
"16","H3",1198.9995,"drug","11","b",-4.05754930488199
"17","I3",1650.1821,"drug","11","b",0.210151956029745
"18","J3",1376.7381,"drug","11","b",-2.37633365664403
"19","K3",1698.0348,"drug","11","b",0.662786938247656
"20","L3",1260.5244,"drug","11","b",-3.47559004203039
"21","M3",946.0638,"drug","11","b",-6.45004849660524
"22","N3",1000.7526,"drug","11","b",-5.93275137407048
"23","O3",816.1779,"drug","11","b",-7.67862916262528
"24","P3",1602.3294,"drug","11","b",-0.242483026188165
"25","A4",1985.151,"drug","11","b",3.37859683155513
"26","B4",1711.707,"drug","11","b",0.792111218881347
"27","C4",1479.2796,"drug","11","b",-1.40640155189137
"28","D4",1267.3605,"drug","11","b",-3.41092790171355
"29","E4",1547.6406,"drug","11","b",-0.759780148722922
"30","F4",1014.4248,"drug","11","b",-5.80342709343679
"31","G4",1472.4435,"drug","11","b",-1.47106369220821
"32","H4",1739.0514,"drug","11","b",1.05075978014872
"33","I4",1616.0016,"drug","11","b",-0.113158745554477
"34","J4",1219.5078,"drug","11","b",-3.86356288393146
"35","K4",1643.346,"drug","11","b",0.145489815712901
"36","L4",1103.2941,"drug","11","b",-4.96281926931781
"37","M4",1322.0493,"drug","11","b",-2.89363077917879
"38","N4",781.9974,"drug","11","b",-8.0019398642095
"39","O4",918.7194,"drug","11","b",-6.70869705787261
"40","P4",1253.6883,"drug","11","b",-3.54025218234723
"41","A5",1834.7568,"drug","11","b",1.95602974458455
"42","B5",1404.0825,"drug","11","b",-2.11768509537666
"43","C5",1110.1302,"drug","11","b",-4.89815712900097
"44","D5",1014.4248,"drug","11","b",-5.80342709343679
"45","E5",1089.6219,"drug","11","b",-5.0921435499515
"46","F5",1602.3294,"drug","11","b",-0.242483026188165
"47","G5",1527.1323,"drug","11","b",-0.953766569673455
"48","H5",1397.2464,"drug","11","b",-2.1823472356935
"49","I5",1110.1302,"drug","11","b",-4.89815712900097
"50","J5",1349.3937,"drug","11","b",-2.63498221791141
"51","K5",1602.3294,"drug","11","b",-0.242483026188165
"52","L5",1021.2609,"drug","11","b",-5.73876495311995
"53","M5",734.1447,"drug","11","b",-8.45457484642742
"54","N5",1007.5887,"drug","11","b",-5.86808923375364
"55","O5",1110.1302,"drug","11","b",-4.89815712900097
"56","P5",1718.5431,"drug","11","b",0.856773359198191
"57","A6",2128.7091,"drug","11","b",4.73650177820886
"58","B6",1397.2464,"drug","11","b",-2.1823472356935
"59","C6",1281.0327,"drug","11","b",-3.28160362107986
"60","D6",1670.6904,"drug","11","b",0.404138376980278
"61","E6",1301.541,"drug","11","b",-3.08761720012932
"62","F6",891.375,"drug","11","b",-6.96734561913999
"63","G6",932.3916,"drug","11","b",-6.57937277723893
"64","H6",1506.624,"drug","11","b",-1.14775299062399
"65","I6",529.0617,"drug","11","b",-10.3944390559328
"66","J6",1185.3273,"drug","11","b",-4.18687358551568
"67","K6",1472.4435,"drug","11","b",-1.47106369220821
"68","L6",1089.6219,"drug","11","b",-5.0921435499515
"69","M6",1164.819,"drug","11","b",-4.38086000646621
"70","N6",1527.1323,"drug","11","b",-0.953766569673455
"71","O6",1561.3128,"drug","11","b",-0.630455868089234
"72","P6",1745.8875,"drug","11","b",1.11542192046557
"73","A7",2197.0701,"drug","11","b",5.3831231813773
"74","B7",1021.2609,"drug","11","b",-5.73876495311995
"75","C7",1629.6738,"drug","11","b",0.0161655350792122
"76","D7",1554.4767,"drug","11","b",-0.695118008406078
"77","E7",1301.541,"drug","11","b",-3.08761720012932
"78","F7",932.3916,"drug","11","b",-6.57937277723893
"79","G7",652.1115,"drug","11","b",-9.23052053022955
"80","H7",850.3584,"drug","11","b",-7.35531846104106
"81","I7",1069.1136,"drug","11","b",-5.28612997090204
"82","J7",802.5057,"drug","11","b",-7.80795344325897
"83","K7",2115.0369,"drug","11","b",4.60717749757517
"84","L7",864.0306,"drug","11","b",-7.22599418040737
"85","M7",1780.068,"drug","11","b",1.43873262204979
"86","N7",1629.6738,"drug","11","b",0.0161655350792122
"87","O7",2005.6593,"drug","11","b",3.57258325250566
"88","P7",2053.512,"drug","11","b",4.02521823472357
"89","A8",1609.1655,"drug","11","b",-0.177820885871321
"90","B8",1034.9331,"drug","11","b",-5.60944067248626
"91","C8",1458.7713,"drug","11","b",-1.6003879728419
"92","D8",1383.5742,"drug","11","b",-2.31167151632719
"93","E8",1089.6219,"drug","11","b",-5.0921435499515
"94","F8",1417.7547,"drug","11","b",-1.98836081474297
"95","G8",1684.3626,"drug","11","b",0.533462657613967
"96","H8",1007.5887,"drug","11","b",-5.86808923375364
"97","I8",1472.4435,"drug","11","b",-1.47106369220821
"98","J8",877.7028,"drug","11","b",-7.09666989977368
"99","K8",1424.5908,"drug","11","b",-1.92369867442612
"100","L8",1616.0016,"drug","11","b",-0.113158745554477
"101","M8",1021.2609,"drug","11","b",-5.73876495311995
"102","N8",1513.4601,"drug","11","b",-1.08309085030714
"103","O8",693.1281,"drug","11","b",-8.84254768832848
"104","P8",1691.1987,"drug","11","b",0.598124797930812
"105","A9",2750.7942,"drug","11","b",10.6207565470417
"106","B9",2176.5618,"drug","11","b",5.18913676042677
"107","C9",1827.9207,"drug","11","b",1.8913676042677
"108","D9",1315.2132,"drug","11","b",-2.95829291949564
"109","E9",1171.6551,"drug","11","b",-4.31619786614937
"110","F9",1609.1655,"drug","11","b",-0.177820885871321
"111","G9",1513.4601,"drug","11","b",-1.08309085030714
"112","H9",1110.1302,"drug","11","b",-4.89815712900097
"113","I9",1376.7381,"drug","11","b",-2.37633365664403
"114","J9",1431.4269,"drug","11","b",-1.85903653410928
"115","K9",1349.3937,"drug","11","b",-2.63498221791141
"116","L9",734.1447,"drug","11","b",-8.45457484642742
"117","M9",563.2422,"drug","11","b",-10.0711283543485
"118","N9",1301.541,"drug","11","b",-3.08761720012932
"119","O9",1260.5244,"drug","11","b",-3.47559004203039
"120","P9",1930.4622,"drug","11","b",2.86129970902037
"121","A10",1971.4788,"drug","11","b",3.24927255092144
"122","B10",1636.5099,"drug","11","b",0.0808276753960565
