"well","value","type","plate","replicate","pct_effect"
"1","J1",1770.7506,"0.2ng/ml IL15","12","b",-0.0504095778197858
"2","K1",21511.717,"10ng/ml IL15","12","b",98.349086326402
"3","M1",1942.675,"0.2ng/ml IL15","12","b",0.806553245116571
"4","N1",23756.8474,"10ng/ml IL15","12","b",109.540012602394
"5","J2",1851.6562,"0.2ng/ml IL15","12","b",0.352867044738499
"6","K2",21198.2078,"10ng/ml IL15","12","b",96.7863894139887
"7","M2",1558.3734,"0.2ng/ml IL15","12","b",-1.10901071203529
"8","N2",20904.925,"10ng/ml IL15","12","b",95.3245116572149
"9","A3",2428.1086,"drug","12","b",3.22621298046629
"10","B3",2276.4106,"drug","12","b",2.4700693131695
"11","C3",1831.4298,"drug","12","b",0.252047889098928
"12","D3",1861.7694,"drug","12","b",0.403276622558285
"13","E3",1608.9394,"drug","12","b",-0.856962822936359
"14","F3",2347.203,"drug","12","b",2.822936357908
"15","G3",1588.713,"drug","12","b",-0.95778197857593
"16","H3",1973.0146,"drug","12","b",0.957781978575929
"17","I3",1507.8074,"drug","12","b",-1.36105860113422
"18","J3",1710.0714,"drug","12","b",-0.352867044738501
"19","K3",223.431,"drug","12","b",-7.76307498424701
"20","L3",1710.0714,"drug","12","b",-0.352867044738501
"21","M3",1062.8266,"drug","12","b",-3.57908002520479
"22","N3",91.9594,"drug","12","b",-8.41839949590422
"23","O3",648.1854,"drug","12","b",-5.64587271581601
"24","P3",547.0534,"drug","12","b",-6.14996849401386
"25","A4",1437.015,"drug","12","b",-1.71392564587272
"26","B4",1598.8262,"drug","12","b",-0.907372400756144
"27","C4",1507.8074,"drug","12","b",-1.36105860113422
"28","D4",1639.279,"drug","12","b",-0.705734089477001
"29","E4",1528.0338,"drug","12","b",-1.26023944549464
"30","F4",-79.965,"drug","12","b",-9.27536231884058
"31","G4",496.4874,"drug","12","b",-6.40201638311279
"32","H4",992.0342,"drug","12","b",-3.93194706994329
"33","I4",1497.6942,"drug","12","b",-1.411468178954
"34","J4",739.2042,"drug","12","b",-5.19218651543793
"35","K4",182.9782,"drug","12","b",-7.96471329552615
"36","L4",577.393,"drug","12","b",-5.99873976055451
"37","M4",678.525,"drug","12","b",-5.49464398235665
"38","N4",1163.9586,"drug","12","b",-3.07498424700693
"39","O4",1679.7318,"drug","12","b",-0.504095778197858
