"well","value","type","plate","replicate","pct_effect"
"1","J1",1239.2536,"0.2ng/ml IL15","14","a",-0.282663316582914
"2","K1",16193.8648,"10ng/ml IL15","14","a",74.7173366834171
"3","M1",1076.4312,"0.2ng/ml IL15","14","a",-1.09924623115578
"4","N1",22857.0584,"10ng/ml IL15","14","a",108.134422110553
"5","J2",1326.9272,"0.2ng/ml IL15","14","a",0.157035175879398
"6","K2",22017.8968,"10ng/ml IL15","14","a",103.925879396985
"7","M2",1539.8488,"0.2ng/ml IL15","14","a",1.2248743718593
"8","N2",23871.5672,"10ng/ml IL15","14","a",113.222361809045
"9","A3",1502.2744,"drug","14","a",1.03643216080402
"10","B3",876.0344,"drug","14","a",-2.10427135678392
"11","C3",625.5384,"drug","14","a",-3.3605527638191
"12","D3",825.9352,"drug","14","a",-2.35552763819095
"13","E3",788.3608,"drug","14","a",-2.54396984924623
"14","F3",775.836,"drug","14","a",-2.60678391959799
"15","G3",1114.0056,"drug","14","a",-0.910804020100502
"16","H3",1139.0552,"drug","14","a",-0.785175879396985
"17","I3",1289.3528,"drug","14","a",-0.0314070351758797
"18","J3",1790.3448,"drug","14","a",2.48115577889447
"19","K3",1514.7992,"drug","14","a",1.09924623115578
"20","L3",1402.076,"drug","14","a",0.53391959798995
"21","M3",1777.82,"drug","14","a",2.41834170854271
"22","N3",775.836,"drug","14","a",-2.60678391959799
"23","O3",1088.956,"drug","14","a",-1.03643216080402
"24","P3",1727.7208,"drug","14","a",2.16708542713568
"25","A4",1351.9768,"drug","14","a",0.282663316582914
"26","B4",738.2616,"drug","14","a",-2.79522613065327
"27","C4",1489.7496,"drug","14","a",0.973618090452262
"28","D4",1514.7992,"drug","14","a",1.09924623115578
"29","E4",400.092,"drug","14","a",-4.49120603015075
"30","F4",2779.804,"drug","14","a",7.44346733668342
"31","G4",1176.6296,"drug","14","a",-0.596733668341708
"32","H4",2090.94,"drug","14","a",3.98869346733668
"33","I4",1802.8696,"drug","14","a",2.54396984924623
"34","J4",775.836,"drug","14","a",-2.60678391959799
"35","K4",2491.7336,"drug","14","a",5.99874371859296
"36","L4",1777.82,"drug","14","a",2.41834170854271
"37","M4",1652.572,"drug","14","a",1.79020100502513
