"well","value","type","plate","replicate","pct_effect"
"1","J1",1582.72655,"0.2ng/ml IL15","4","b",1.9968620738839
"2","K1",9893.75585,"10ng/ml IL15","4","b",84.6669519326772
"3","M1",1628.61215,"0.2ng/ml IL15","4","b",2.45328769077164
"4","N1",12354.37115,"10ng/ml IL15","4","b",109.142775638283
"5","J2",1181.22755,"0.2ng/ml IL15","4","b",-1.9968620738839
"6","K2",11511.22325,"10ng/ml IL15","4","b",100.75595492797
"7","M2",1135.34195,"0.2ng/ml IL15","4","b",-2.45328769077164
"8","N2",11981.55065,"10ng/ml IL15","4","b",105.43431750107
"9","A3",2018.63975,"drug","4","b",6.3329054343175
"10","B3",3074.00855,"drug","4","b",16.8306946227357
"11","C3",1267.26305,"drug","4","b",-1.14106404221937
"12","D3",1164.02045,"drug","4","b",-2.1680216802168
"13","E3",728.10725,"drug","4","b",-6.50406504065041
"14","F3",957.53525,"drug","4","b",-4.22193695621167
"15","G3",842.82125,"drug","4","b",-5.36300099843104
"16","H3",1066.51355,"drug","4","b",-3.13792611610327
"17","I3",854.29265,"drug","4","b",-5.2488945942091
"18","J3",1095.19205,"drug","4","b",-2.85266010554842
"19","K3",934.59245,"drug","4","b",-4.45014976465554
"20","L3",831.34985,"drug","4","b",-5.47710740265297
"21","M3",1290.20585,"drug","4","b",-0.912851233775495
"22","N3",917.38535,"drug","4","b",-4.62130937098845
"23","O3",796.93565,"drug","4","b",-5.81942661531878
"24","P3",1554.04805,"drug","4","b",1.71159606332906
"25","A4",1611.40505,"drug","4","b",2.28212808443874
"26","B4",1049.30645,"drug","4","b",-3.30908572243617
"27","C4",1014.89225,"drug","4","b",-3.65140493510198
"28","D4",969.00665,"drug","4","b",-4.10783055198973
"29","E4",762.52145,"drug","4","b",-6.1617458279846
"30","F4",969.00665,"drug","4","b",-4.10783055198973
"31","G4",905.91395,"drug","4","b",-4.73541577521038
"32","H4",676.48595,"drug","4","b",-7.01754385964912
"33","I4",860.02835,"drug","4","b",-5.19184139209813
"34","J4",705.16445,"drug","4","b",-6.73227784909428
"35","K4",670.75025,"drug","4","b",-7.07459706176009
"36","L4",808.40705,"drug","4","b",-5.70532021109685
"37","M4",1318.88435,"drug","4","b",-0.627585223220652
"38","N4",974.74235,"drug","4","b",-4.05077734987876
"39","O4",796.93565,"drug","4","b",-5.81942661531878
"40","P4",1554.04805,"drug","4","b",1.71159606332906
"41","A5",1278.73445,"drug","4","b",-1.02695763799743
"42","B5",1123.87055,"drug","4","b",-2.56739409499358
"43","C5",1055.04215,"drug","4","b",-3.2520325203252
"44","D5",1359.03425,"drug","4","b",-0.228212808443874
"45","E5",837.08555,"drug","4","b",-5.420054200542
"46","F5",848.55695,"drug","4","b",-5.30594779632007
"47","G5",1192.69895,"drug","4","b",-1.88275566966196
"48","H5",877.23545,"drug","4","b",-5.02068178576523
"49","I5",1026.36365,"drug","4","b",-3.53729853088005
"50","J5",682.22165,"drug","4","b",-6.96049065753815
"51","K5",1112.39915,"drug","4","b",-2.68150049921552
"52","L5",934.59245,"drug","4","b",-4.45014976465554
"53","M5",1760.53325,"drug","4","b",3.76551133932392
"54","N5",802.67135,"drug","4","b",-5.76237341320782
"55","O5",969.00665,"drug","4","b",-4.10783055198973
"56","P5",1754.79755,"drug","4","b",3.70845813721295
"57","A6",1445.06975,"drug","4","b",0.627585223220655
"58","B6",1066.51355,"drug","4","b",-3.13792611610327
"59","C6",848.55695,"drug","4","b",-5.30594779632007
"60","D6",888.70685,"drug","4","b",-4.90657538154329
"61","E6",762.52145,"drug","4","b",-6.1617458279846
"62","F6",693.69305,"drug","4","b",-6.84638425331622
"63","G6",808.40705,"drug","4","b",-5.70532021109685
"64","H6",802.67135,"drug","4","b",-5.76237341320782
"65","I6",1060.77785,"drug","4","b",-3.19497931821423
"66","J6",647.80745,"drug","4","b",-7.30280987020396
"67","K6",1141.07765,"drug","4","b",-2.39623448866068
"68","L6",1106.66345,"drug","4","b",-2.73855370132649
"69","M6",1582.72655,"drug","4","b",1.9968620738839
"70","N6",1060.77785,"drug","4","b",-3.19497931821423
"71","O6",1227.11315,"drug","4","b",-1.54043645699615
"72","P6",1284.47015,"drug","4","b",-0.969904435886463
"73","A7",1548.31235,"drug","4","b",1.65454286121809
"74","B7",963.27095,"drug","4","b",-4.1648837541007
"75","C7",1049.30645,"drug","4","b",-3.30908572243617
"76","D7",1112.39915,"drug","4","b",-2.68150049921552
"77","E7",768.25715,"drug","4","b",-6.10469262587363
"78","F7",796.93565,"drug","4","b",-5.81942661531878
"79","G7",905.91395,"drug","4","b",-4.73541577521038
"80","H7",745.31435,"drug","4","b",-6.3329054343175
"81","I7",974.74235,"drug","4","b",-4.05077734987876
