"well","value","type","plate","replicate","pct_effect"
"1","J1",2751.4302,"0.2ng/ml IL15","12","a",3.6636794939378
"2","K1",22659.153,"10ng/ml IL15","12","a",99.9736425935688
"3","M1",2195.7138,"0.2ng/ml IL15","12","a",0.975224037954665
"4","N1",24217.3382,"10ng/ml IL15","12","a",107.511860832894
"5","J2",1923.3038,"0.2ng/ml IL15","12","a",-0.342646283605694
"6","K2",20261.945,"10ng/ml IL15","12","a",88.3763837638377
"7","M2",1106.0738,"0.2ng/ml IL15","12","a",-4.29625724828677
"8","N2",23519.9686,"10ng/ml IL15","12","a",104.1381128097
"9","A3",10389.8066,"drug","12","a",40.6167633104903
"10","B3",2250.1958,"drug","12","a",1.23879810226674
"11","C3",2261.0922,"drug","12","a",1.29151291512915
"12","D3",2119.439,"drug","12","a",0.606220347917764
"13","E3",1509.2406,"drug","12","a",-2.34580917237744
"14","F3",2413.6418,"drug","12","a",2.02952029520295
"15","G3",1836.1326,"drug","12","a",-0.764364786505008
"16","H3",1934.2002,"drug","12","a",-0.289931470743279
"17","I3",1509.2406,"drug","12","a",-2.34580917237744
"18","J3",1443.8622,"drug","12","a",-2.66209804955192
"19","K3",343.3258,"drug","12","a",-7.98629414865577
"20","L3",1465.655,"drug","12","a",-2.5566684238271
"21","M3",1389.3802,"drug","12","a",-2.925672113864
"22","N3",267.051,"drug","12","a",-8.35529783869267
"23","O3",1356.691,"drug","12","a",-3.08381655245124
"24","P3",1018.9026,"drug","12","a",-4.71797575118608
"25","A4",1607.3082,"drug","12","a",-1.87137585661571
"26","B4",1509.2406,"drug","12","a",-2.34580917237744
"27","C4",1716.2722,"drug","12","a",-1.34422772799157
"28","D4",2304.6778,"drug","12","a",1.50237216657881
"29","E4",1748.9614,"drug","12","a",-1.18608328940432
"30","F4",-201.4942,"drug","12","a",-10.6220347917765
"31","G4",724.6998,"drug","12","a",-6.14127569847127
"32","H4",1127.8666,"drug","12","a",-4.19082762256194
"33","I4",1182.3486,"drug","12","a",-3.92725355824987
"34","J4",833.6638,"drug","12","a",-5.61412756984713
"35","K4",757.389,"drug","12","a",-5.98313125988403
"36","L4",637.5286,"drug","12","a",-6.56299420137059
"37","M4",637.5286,"drug","12","a",-6.56299420137059
"38","N4",1487.4478,"drug","12","a",-2.45123879810227
"39","O4",1585.5154,"drug","12","a",-1.97680548234054
"40","P4",1215.0378,"drug","12","a",-3.76910911966263
"41","A5",1639.9974,"drug","12","a",-1.71323141802847
"42","B5",2097.6462,"drug","12","a",0.500790722192937
"43","C5",1356.691,"drug","12","a",-3.08381655245124
"44","D5",1443.8622,"drug","12","a",-2.66209804955192
"45","E5",1302.209,"drug","12","a",-3.34739061676331
