"well","value","type","plate","replicate","pct_effect"
"1","J1",3899.8863,"0.2ng/ml IL15","6","a",5.61016949152542
"2","K1",16043.9244,"10ng/ml IL15","6","a",91.9152542372881
"3","M1",3422.9013,"0.2ng/ml IL15","6","a",2.22033898305085
"4","N1",18610.1037,"10ng/ml IL15","6","a",110.152542372881
"5","J2",2888.6781,"0.2ng/ml IL15","6","a",-1.57627118644068
"6","K2",17322.2442,"10ng/ml IL15","6","a",101
"7","M2",2230.4388,"0.2ng/ml IL15","6","a",-6.2542372881356
"8","N2",16749.8622,"10ng/ml IL15","6","a",96.9322033898305
"9","A3",4787.0784,"drug","6","a",11.9152542372881
"10","B3",3394.2822,"drug","6","a",2.01694915254237
"11","C3",3069.9324,"drug","6","a",-0.288135593220339
"12","D3",2688.3444,"drug","6","a",-3
"13","E3",2678.8047,"drug","6","a",-3.06779661016949
"14","F3",2716.9635,"drug","6","a",-2.79661016949153
"15","G3",2736.0429,"drug","6","a",-2.66101694915254
"16","H3",2688.3444,"drug","6","a",-3
"17","I3",2383.074,"drug","6","a",-5.16949152542373
"18","J3",2774.2017,"drug","6","a",-2.38983050847458
"19","K3",2182.7403,"drug","6","a",-6.59322033898305
"20","L3",1925.1684,"drug","6","a",-8.42372881355932
"21","M3",2955.456,"drug","6","a",-1.10169491525424
"22","N3",2287.677,"drug","6","a",-5.84745762711864
"23","O3",2478.471,"drug","6","a",-4.49152542372881
"24","P3",2774.2017,"drug","6","a",-2.38983050847458
"25","A4",3317.9646,"drug","6","a",1.47457627118644
"26","B4",3108.0912,"drug","6","a",-0.016949152542375
"27","C4",2268.5976,"drug","6","a",-5.98305084745763
"28","D4",2602.4871,"drug","6","a",-3.61016949152543
"29","E4",2526.1695,"drug","6","a",-4.15254237288136
"30","F4",2612.0268,"drug","6","a",-3.54237288135593
"31","G4",2316.2961,"drug","6","a",-5.64406779661017
"32","H4",2163.6609,"drug","6","a",-6.72881355932204
"33","I4",3117.6309,"drug","6","a",0.0508474576271185
"34","J4",2239.9785,"drug","6","a",-6.1864406779661
"35","K4",2554.7886,"drug","6","a",-3.94915254237288
"36","L4",2964.9957,"drug","6","a",-1.03389830508475
"37","M4",2612.0268,"drug","6","a",-3.54237288135593
"38","N4",4224.2361,"drug","6","a",7.91525423728814
"39","O4",2392.6137,"drug","6","a",-5.10169491525424
"40","P4",2545.2489,"drug","6","a",-4.01694915254237
"41","A5",3193.9485,"drug","6","a",0.59322033898305
"42","B5",2678.8047,"drug","6","a",-3.06779661016949
"43","C5",2402.1534,"drug","6","a",-5.03389830508475
"44","D5",2335.3755,"drug","6","a",-5.50847457627119
"45","E5",2220.8991,"drug","6","a",-6.32203389830508
"46","F5",2373.5343,"drug","6","a",-5.23728813559322
"47","G5",2220.8991,"drug","6","a",-6.32203389830508
"48","H5",2297.2167,"drug","6","a",-5.77966101694915
"49","I5",2363.9946,"drug","6","a",-5.30508474576271
"50","J5",2411.6931,"drug","6","a",-4.96610169491526
"51","K5",2249.5182,"drug","6","a",-6.11864406779661
"52","L5",2144.5815,"drug","6","a",-6.86440677966102
"53","M5",2182.7403,"drug","6","a",-6.59322033898305
"54","N5",2325.8358,"drug","6","a",-5.57627118644068
"55","O5",2230.4388,"drug","6","a",-6.2542372881356
"56","P5",2631.1062,"drug","6","a",-3.40677966101695
"57","A6",3604.1556,"drug","6","a",3.50847457627119
"58","B6",2726.5032,"drug","6","a",-2.72881355932203
"59","C6",2278.1373,"drug","6","a",-5.91525423728814
"60","D6",2602.4871,"drug","6","a",-3.61016949152543
"61","E6",2411.6931,"drug","6","a",-4.96610169491526
"62","F6",2278.1373,"drug","6","a",-5.91525423728814
"63","G6",2220.8991,"drug","6","a",-6.32203389830508
"64","H6",2211.3594,"drug","6","a",-6.38983050847458
"65","I6",1906.089,"drug","6","a",-8.55932203389831
"66","J6",2507.0901,"drug","6","a",-4.28813559322034
"67","K6",2373.5343,"drug","6","a",-5.23728813559322
"68","L6",2268.5976,"drug","6","a",-5.98305084745763
"69","M6",2907.7575,"drug","6","a",-1.44067796610169
"70","N6",2440.3122,"drug","6","a",-4.76271186440678
"71","O6",2573.868,"drug","6","a",-3.8135593220339
"72","P6",2745.5826,"drug","6","a",-2.59322033898305
"73","A7",3317.9646,"drug","6","a",1.47457627118644
"74","B7",1887.0096,"drug","6","a",-8.69491525423729
"75","C7",2688.3444,"drug","6","a",-3
"76","D7",2287.677,"drug","6","a",-5.84745762711864
"77","E7",2230.4388,"drug","6","a",-6.2542372881356
"78","F7",2220.8991,"drug","6","a",-6.32203389830508
"79","G7",2363.9946,"drug","6","a",-5.30508474576271
"80","H7",1848.8508,"drug","6","a",-8.96610169491526
"81","I7",2182.7403,"drug","6","a",-6.59322033898305
"82","J7",2612.0268,"drug","6","a",-3.54237288135593
"83","K7",2249.5182,"drug","6","a",-6.11864406779661
"84","L7",2297.2167,"drug","6","a",-5.77966101694915
"85","M7",2363.9946,"drug","6","a",-5.30508474576271
"86","N7",2459.3916,"drug","6","a",-4.6271186440678
"87","O7",2430.7725,"drug","6","a",-4.83050847457627
"88","P7",2802.8208,"drug","6","a",-2.1864406779661
"89","A8",2621.5665,"drug","6","a",-3.47457627118644
"90","B8",2993.6148,"drug","6","a",-0.830508474576273
"91","C8",2955.456,"drug","6","a",-1.10169491525424
"92","D8",2907.7575,"drug","6","a",-1.44067796610169
