"well","value","type","plate","replicate","pct_effect"
"1","J1",1876.1328,"0.2ng/ml IL15","3","a",3.90720390720391
"2","K1",14956.32,"10ng/ml IL15","3","a",95.2991452991453
"3","M1",1535.3664,"0.2ng/ml IL15","3","a",1.52625152625153
"4","N1",18495.048,"10ng/ml IL15","3","a",120.02442002442
"5","J2",1133.4368,"0.2ng/ml IL15","3","a",-1.28205128205128
"6","K2",15017.4832,"10ng/ml IL15","3","a",95.7264957264957
"7","M2",722.7696,"0.2ng/ml IL15","3","a",-4.15140415140415
"8","N2",14047.6096,"10ng/ml IL15","3","a",88.9499389499389
"9","A3",4322.6608,"drug","3","a",21.001221001221
"10","B3",993.6352,"drug","3","a",-2.25885225885226
"11","C3",617.9184,"drug","3","a",-4.88400488400488
"12","D3",408.216,"drug","3","a",-6.34920634920635
"13","E3",818.8832,"drug","3","a",-3.47985347985348
"14","F3",609.1808,"drug","3","a",-4.94505494505495
"15","G3",853.8336,"drug","3","a",-3.23565323565324
"16","H3",853.8336,"drug","3","a",-3.23565323565324
"17","I3",434.4288,"drug","3","a",-6.16605616605617
"18","J3",679.0816,"drug","3","a",-4.45665445665446
"19","K3",914.9968,"drug","3","a",-2.80830280830281
"20","L3",1046.0608,"drug","3","a",-1.89255189255189
"21","M3",714.032,"drug","3","a",-4.21245421245421
"22","N3",652.8688,"drug","3","a",-4.63980463980464
"23","O3",845.096,"drug","3","a",-3.2967032967033
"24","P3",1579.0544,"drug","3","a",1.83150183150183
"25","A4",1692.6432,"drug","3","a",2.62515262515262
"26","B4",984.8976,"drug","3","a",-2.31990231990232
"27","C4",1054.7984,"drug","3","a",-1.83150183150183
"28","D4",722.7696,"drug","3","a",-4.15140415140415
"29","E4",486.8544,"drug","3","a",-5.7997557997558
"30","F4",548.0176,"drug","3","a",-5.37240537240537
"31","G4",504.3296,"drug","3","a",-5.67765567765568
"32","H4",679.0816,"drug","3","a",-4.45665445665446
"33","I4",399.4784,"drug","3","a",-6.41025641025641
"34","J4",792.6704,"drug","3","a",-3.66300366300366
"35","K4",565.4928,"drug","3","a",-5.25030525030525
"36","L4",329.5776,"drug","3","a",-6.8986568986569
"37","M4",486.8544,"drug","3","a",-5.7997557997558
"38","N4",1028.5856,"drug","3","a",-2.01465201465201
"39","O4",871.3088,"drug","3","a",-3.11355311355311
"40","P4",1299.4512,"drug","3","a",-0.122100122100123
"41","A5",1404.3024,"drug","3","a",0.61050061050061
"42","B5",923.7344,"drug","3","a",-2.74725274725275
"43","C5",364.528,"drug","3","a",-6.65445665445665
"44","D5",836.3584,"drug","3","a",-3.35775335775336
"45","E5",1465.4656,"drug","3","a",1.03785103785104
"46","F5",792.6704,"drug","3","a",-3.66300366300366
"47","G5",722.7696,"drug","3","a",-4.15140415140415
"48","H5",347.0528,"drug","3","a",-6.77655677655678
"49","I5",705.2944,"drug","3","a",-4.27350427350427
"50","J5",416.9536,"drug","3","a",-6.28815628815629
"51","K5",425.6912,"drug","3","a",-6.22710622710623
"52","L5",582.968,"drug","3","a",-5.12820512820513
"53","M5",250.9392,"drug","3","a",-7.44810744810745
"54","N5",2216.8992,"drug","3","a",6.28815628815629
"55","O5",984.8976,"drug","3","a",-2.31990231990232
"56","P5",1430.5152,"drug","3","a",0.793650793650794
"57","A6",1753.8064,"drug","3","a",3.05250305250305
"58","B6",1019.848,"drug","3","a",-2.07570207570208
"59","C6",757.72,"drug","3","a",-3.90720390720391
"60","D6",766.4576,"drug","3","a",-3.84615384615385
"61","E6",757.72,"drug","3","a",-3.90720390720391
"62","F6",609.1808,"drug","3","a",-4.94505494505495
"63","G6",836.3584,"drug","3","a",-3.35775335775336
"64","H6",434.4288,"drug","3","a",-6.16605616605617
"65","I6",495.592,"drug","3","a",-5.73870573870574
"66","J6",478.1168,"drug","3","a",-5.86080586080586
"67","K6",818.8832,"drug","3","a",-3.47985347985348
"68","L6",1133.4368,"drug","3","a",-1.28205128205128
"69","M6",1212.0752,"drug","3","a",-0.732600732600733
"70","N6",1107.224,"drug","3","a",-1.46520146520147
"71","O6",1203.3376,"drug","3","a",-0.793650793650794
