"well","value","type","plate","replicate","pct_effect"
"1","J1",2106.309,"0.2ng/ml IL15","9","a",3.90463675614793
"2","K1",11138.7954,"10ng/ml IL15","9","a",100.619485639197
"3","M1",1818.7842,"0.2ng/ml IL15","9","a",0.82598085226206
"4","N1",11573.589,"10ng/ml IL15","9","a",105.275014079219
"5","J2",1538.2722,"0.2ng/ml IL15","9","a",-2.17758588323634
"6","K2",10977.501,"10ng/ml IL15","9","a",98.892434766285
"7","M2",1503.2082,"0.2ng/ml IL15","9","a",-2.55303172517364
"8","N2",10633.8738,"10ng/ml IL15","9","a",95.2130655152994
"9","A3",2050.2066,"drug","9","a",3.30392340904824
"10","B3",1938.0018,"drug","9","a",2.10249671484888
"11","C3",1699.5666,"drug","9","a",-0.450535010324761
"12","D3",1678.5282,"drug","9","a",-0.675802515487143
"13","E3",2190.4626,"drug","9","a",4.80570677679744
"14","F3",1419.0546,"drug","9","a",-3.45410174582317
"15","G3",1804.7586,"drug","9","a",0.675802515487138
"16","H3",1538.2722,"drug","9","a",-2.17758588323634
"17","I3",1264.773,"drug","9","a",-5.10606345034729
"18","J3",1292.8242,"drug","9","a",-4.80570677679745
"19","K3",1012.3122,"drug","9","a",-7.80927351229585
"20","L3",1117.5042,"drug","9","a",-6.68293598648395
"21","M3",1257.7602,"drug","9","a",-5.18115261873475
"22","N3",1369.965,"drug","9","a",-3.97972592453539
"23","O3",991.2738,"drug","9","a",-8.03454101745823
"24","P3",1797.7458,"drug","9","a",0.600713347099678
"25","A4",2155.3986,"drug","9","a",4.43026093486015
"26","B4",1692.5538,"drug","9","a",-0.525624178712223
"27","C4",1846.8354,"drug","9","a",1.1263375258119
"28","D4",1341.9138,"drug","9","a",-4.28008259808523
"29","E4",1643.4642,"drug","9","a",-1.05124835742444
"30","F4",1257.7602,"drug","9","a",-5.18115261873475
"31","G4",1468.1442,"drug","9","a",-2.92847756711095
"32","H4",1489.1826,"drug","9","a",-2.70321006194856
"33","I4",1587.3618,"drug","9","a",-1.65196170452413
"34","J4",1201.6578,"drug","9","a",-5.78186596583443
"35","K4",1327.8882,"drug","9","a",-4.43026093486015
"36","L4",1292.8242,"drug","9","a",-4.80570677679745
"37","M4",1236.7218,"drug","9","a",-5.40642012389713
"38","N4",1208.6706,"drug","9","a",-5.70677679744697
"39","O4",640.6338,"drug","9","a",-11.7889994368312
"40","P4",1454.1186,"drug","9","a",-3.07865590388587
"41","A5",1825.797,"drug","9","a",0.90107002064952
"42","B5",1923.9762,"drug","9","a",1.95231837807396
"43","C5",1454.1186,"drug","9","a",-3.07865590388587
"44","D5",1412.0418,"drug","9","a",-3.52919091421063
"45","E5",1664.5026,"drug","9","a",-0.825980852262063
"46","F5",1664.5026,"drug","9","a",-0.825980852262063
"47","G5",1033.3506,"drug","9","a",-7.58400600713347
"48","H5",1594.3746,"drug","9","a",-1.57687253613666
"49","I5",1166.5938,"drug","9","a",-6.15731180777173
"50","J5",1236.7218,"drug","9","a",-5.40642012389713
"51","K5",1264.773,"drug","9","a",-5.10606345034729
"52","L5",1110.4914,"drug","9","a",-6.75802515487141
"53","M5",914.133,"drug","9","a",-8.86052186972029
"54","N5",1159.581,"drug","9","a",-6.23240097615919
"55","O5",1005.2994,"drug","9","a",-7.88436268068331
"56","P5",1348.9266,"drug","9","a",-4.20499342969777
"57","A6",2232.5394,"drug","9","a",5.25624178712221
"58","B6",1622.4258,"drug","9","a",-1.27651586258682
"59","C6",1762.6818,"drug","9","a",0.225267505162379
"60","D6",1440.093,"drug","9","a",-3.22883424066079
"61","E6",1313.8626,"drug","9","a",-4.58043927163507
"62","F6",1454.1186,"drug","9","a",-3.07865590388587
"63","G6",1012.3122,"drug","9","a",-7.80927351229585
"64","H6",1313.8626,"drug","9","a",-4.58043927163507
"65","I6",991.2738,"drug","9","a",-8.03454101745823
"66","J6",1194.645,"drug","9","a",-5.85695513422189
"67","K6",1306.8498,"drug","9","a",-4.65552844002253
"68","L6",970.2354,"drug","9","a",-8.25980852262061
"69","M6",1222.6962,"drug","9","a",-5.55659846067205
"70","N6",1089.453,"drug","9","a",-6.98329266003379
"71","O6",1580.349,"drug","9","a",-1.72705087291159
"72","P6",1853.8482,"drug","9","a",1.20142669419936
"73","A7",1930.989,"drug","9","a",2.02740754646142
"74","B7",1376.9778,"drug","9","a",-3.90463675614793
"75","C7",1236.7218,"drug","9","a",-5.40642012389713
"76","D7",1391.0034,"drug","9","a",-3.75445841937301
"77","E7",1124.517,"drug","9","a",-6.60784681809649
"78","F7",1257.7602,"drug","9","a",-5.18115261873475
"79","G7",977.2482,"drug","9","a",-8.18471935423315
"80","H7",808.941,"drug","9","a",-9.9868593955322
"81","I7",836.9922,"drug","9","a",-9.68650272198236
"82","J7",921.1458,"drug","9","a",-8.78543270133284
"83","K7",977.2482,"drug","9","a",-8.18471935423315
"84","L7",1341.9138,"drug","9","a",-4.28008259808523
"85","M7",738.813,"drug","9","a",-10.7377510794068
"86","N7",1327.8882,"drug","9","a",-4.43026093486015
"87","O7",1019.325,"drug","9","a",-7.73418434390839
"88","P7",2569.1538,"drug","9","a",8.86052186972029
"89","A8",1966.053,"drug","9","a",2.40285338839872
"90","B8",1503.2082,"drug","9","a",-2.55303172517364
"91","C8",1510.221,"drug","9","a",-2.47794255678619
"92","D8",1005.2994,"drug","9","a",-7.88436268068331
"93","E8",1089.453,"drug","9","a",-6.98329266003379
"94","F8",1208.6706,"drug","9","a",-5.70677679744697
"95","G8",1194.645,"drug","9","a",-5.85695513422189
"96","H8",1166.5938,"drug","9","a",-6.15731180777173
"97","I8",1117.5042,"drug","9","a",-6.68293598648395
"98","J8",907.1202,"drug","9","a",-8.93561103810776
"99","K8",1040.3634,"drug","9","a",-7.50891683874601
"100","L8",1068.4146,"drug","9","a",-7.20856016519617
"101","M8",1264.773,"drug","9","a",-5.10606345034729
"102","N8",1278.7986,"drug","9","a",-4.95588511357237
"103","O8",1699.5666,"drug","9","a",-0.450535010324761
"104","P8",2281.629,"drug","9","a",5.78186596583443
"105","A9",1909.9506,"drug","9","a",1.80214004129904
"106","B9",1755.669,"drug","9","a",0.15017833677492
"107","C9",1201.6578,"drug","9","a",-5.78186596583443
"108","D9",1327.8882,"drug","9","a",-4.43026093486015
"109","E9",900.1074,"drug","9","a",-9.01070020649522
"110","F9",991.2738,"drug","9","a",-8.03454101745823
"111","G9",1103.4786,"drug","9","a",-6.83311432325887
"112","H9",1376.9778,"drug","9","a",-3.90463675614793
"113","I9",1124.517,"drug","9","a",-6.60784681809649
"114","J9",1110.4914,"drug","9","a",-6.75802515487141
"115","K9",1012.3122,"drug","9","a",-7.80927351229585
"116","L9",1012.3122,"drug","9","a",-7.80927351229585
"117","M9",1369.965,"drug","9","a",-3.97972592453539
"118","N9",1671.5154,"drug","9","a",-0.750891683874603
"119","O9",1622.4258,"drug","9","a",-1.27651586258682
"120","P9",1804.7586,"drug","9","a",0.675802515487138
"121","A10",1916.9634,"drug","9","a",1.8772292096865
"122","B10",808.941,"drug","9","a",-9.9868593955322
"123","C10",1180.6194,"drug","9","a",-6.00713347099681
"124","D10",1166.5938,"drug","9","a",-6.15731180777173
"125","E10",1145.5554,"drug","9","a",-6.38257931293411
"126","F10",858.0306,"drug","9","a",-9.46123521681998
"127","G10",1089.453,"drug","9","a",-6.98329266003379
"128","H10",900.1074,"drug","9","a",-9.01070020649522
"129","I10",893.0946,"drug","9","a",-9.08578937488268
"130","J10",977.2482,"drug","9","a",-8.18471935423315
"131","K10",1355.9394,"drug","9","a",-4.12990426131031
"132","L10",1103.4786,"drug","9","a",-6.83311432325887
"133","M10",1391.0034,"drug","9","a",-3.75445841937301
"134","N10",1559.3106,"drug","9","a",-1.95231837807396
"135","O10",1327.8882,"drug","9","a",-4.43026093486015
"136","P10",1755.669,"drug","9","a",0.15017833677492
"137","A11",1902.9378,"drug","9","a",1.72705087291158
"138","B11",1320.8754,"drug","9","a",-4.50535010324761
"139","C11",872.0562,"drug","9","a",-9.31105688004506
"140","D11",1005.2994,"drug","9","a",-7.88436268068331
"141","E11",724.7874,"drug","9","a",-10.8879294161817
"142","F11",745.8258,"drug","9","a",-10.6626619110193
"143","G11",815.9538,"drug","9","a",-9.91177022714474
"144","H11",858.0306,"drug","9","a",-9.46123521681998
"145","I11",584.5314,"drug","9","a",-12.3897127839309
"146","J11",1012.3122,"drug","9","a",-7.80927351229585
"147","K11",1208.6706,"drug","9","a",-5.70677679744697
"148","L11",1089.453,"drug","9","a",-6.98329266003379
"149","M11",1580.349,"drug","9","a",-1.72705087291159
"150","N11",1454.1186,"drug","9","a",-3.07865590388587
"151","O11",1538.2722,"drug","9","a",-2.17758588323634
"152","P11",1902.9378,"drug","9","a",1.72705087291158
"153","A12",1959.0402,"drug","9","a",2.32776422001126
"154","B12",1292.8242,"drug","9","a",-4.80570677679745
"155","C12",844.005,"drug","9","a",-9.6114135535949
"156","D12",654.6594,"drug","9","a",-11.6388211000563
"157","E12",991.2738,"drug","9","a",-8.03454101745823
"158","F12",773.877,"drug","9","a",-10.3623052374695
"159","G12",759.8514,"drug","9","a",-10.5124835742444
"160","H12",759.8514,"drug","9","a",-10.5124835742444
"161","I12",829.9794,"drug","9","a",-9.76159189036982
"162","J12",654.6594,"drug","9","a",-11.6388211000563
"163","K12",1250.7474,"drug","9","a",-5.25624178712221
"164","L12",1327.8882,"drug","9","a",-4.43026093486015
"165","M12",780.8898,"drug","9","a",-10.287216069082
"166","N12",1222.6962,"drug","9","a",-5.55659846067205
"167","O12",1734.6306,"drug","9","a",-0.0750891683874622
"168","P12",2057.2194,"drug","9","a",3.3790125774357
"169","A13",1909.9506,"drug","9","a",1.80214004129904
"170","B13",1306.8498,"drug","9","a",-4.65552844002253
"171","C13",1285.8114,"drug","9","a",-4.88079594518491
"172","D13",1096.4658,"drug","9","a",-6.90820349164633
"173","E13",1313.8626,"drug","9","a",-4.58043927163507
"174","F13",1012.3122,"drug","9","a",-7.80927351229585
"175","G13",1096.4658,"drug","9","a",-6.90820349164633
"176","H13",914.133,"drug","9","a",-8.86052186972029
"177","I13",507.3906,"drug","9","a",-13.215693636193
"178","J13",717.7746,"drug","9","a",-10.9630185845692
"179","K13",851.0178,"drug","9","a",-9.53632438520744
"180","L13",1257.7602,"drug","9","a",-5.18115261873475
"181","M13",822.9666,"drug","9","a",-9.83668105875728
"182","N13",1075.4274,"drug","9","a",-7.13347099680871
"183","O13",1594.3746,"drug","9","a",-1.57687253613666
"184","P13",2372.7954,"drug","9","a",6.75802515487141
"185","A14",1348.9266,"drug","9","a",-4.20499342969777
"186","B14",1692.5538,"drug","9","a",-0.525624178712223
"187","C14",1201.6578,"drug","9","a",-5.78186596583443
"188","D14",893.0946,"drug","9","a",-9.08578937488268
"189","E14",1040.3634,"drug","9","a",-7.50891683874601
"190","F14",570.5058,"drug","9","a",-12.5398911207058
"191","G14",801.9282,"drug","9","a",-10.0619485639197
"192","H14",1243.7346,"drug","9","a",-5.33133095550967
"193","I14",935.1714,"drug","9","a",-8.63525436455791
"194","J14",1019.325,"drug","9","a",-7.73418434390839
"195","K14",844.005,"drug","9","a",-9.6114135535949
"196","L14",893.0946,"drug","9","a",-9.08578937488268
"197","M14",1166.5938,"drug","9","a",-6.15731180777173
"198","N14",1292.8242,"drug","9","a",-4.80570677679745
"199","O14",1264.773,"drug","9","a",-5.10606345034729
"200","P14",1769.6946,"drug","9","a",0.300356673549839
"201","A15",1818.7842,"drug","9","a",0.82598085226206
"202","B15",1061.4018,"drug","9","a",-7.28364933358363
"203","C15",1054.389,"drug","9","a",-7.35873850197109
"204","D15",893.0946,"drug","9","a",-9.08578937488268
"205","E15",829.9794,"drug","9","a",-9.76159189036982
"206","F15",703.749,"drug","9","a",-11.1131969213441
"207","G15",668.685,"drug","9","a",-11.4886427632814
"208","H15",956.2098,"drug","9","a",-8.40998685939553
"209","I15",710.7618,"drug","9","a",-11.0381077529566
"210","J15",808.941,"drug","9","a",-9.9868593955322
"211","K15",844.005,"drug","9","a",-9.6114135535949
"212","L15",1061.4018,"drug","9","a",-7.28364933358363
"213","M15",1201.6578,"drug","9","a",-5.78186596583443
"214","N15",633.621,"drug","9","a",-11.8640886052187
"215","O15",1145.5554,"drug","9","a",-6.38257931293411
"216","P15",1229.709,"drug","9","a",-5.48150929228459
"217","A16",1243.7346,"drug","9","a",-5.33133095550967
"218","B16",1166.5938,"drug","9","a",-6.15731180777173
"219","C16",1033.3506,"drug","9","a",-7.58400600713347
"220","D16",773.877,"drug","9","a",-10.3623052374695
"221","E16",1117.5042,"drug","9","a",-6.68293598648395
"222","F16",766.8642,"drug","9","a",-10.437394405857
"223","G16",1145.5554,"drug","9","a",-6.38257931293411
"224","H16",921.1458,"drug","9","a",-8.78543270133284
"225","I16",1853.8482,"drug","9","a",1.20142669419936
"226","J16",1362.9522,"drug","9","a",-4.05481509292285
"227","K16",970.2354,"drug","9","a",-8.25980852262061
"228","L16",1699.5666,"drug","9","a",-0.450535010324761
"229","M16",1608.4002,"drug","9","a",-1.42669419936174
"230","N16",1923.9762,"drug","9","a",1.95231837807396
"231","O16",984.261,"drug","9","a",-8.10963018584569
"232","P16",1755.669,"drug","9","a",0.15017833677492
"233","A17",1489.1826,"drug","9","a",-2.70321006194856
"234","B17",1713.5922,"drug","9","a",-0.300356673549842
"235","C17",1257.7602,"drug","9","a",-5.18115261873475
"236","D17",1124.517,"drug","9","a",-6.60784681809649
"237","E17",1236.7218,"drug","9","a",-5.40642012389713
"238","F17",1447.1058,"drug","9","a",-3.15374507227333
"239","G17",1405.029,"drug","9","a",-3.60428008259809
"240","H17",907.1202,"drug","9","a",-8.93561103810776
"241","I17",886.0818,"drug","9","a",-9.16087854327013
"242","J17",1040.3634,"drug","9","a",-7.50891683874601
"243","K17",794.9154,"drug","9","a",-10.1370377323071
"244","L17",1299.837,"drug","9","a",-4.73061760840999
"245","M17",1313.8626,"drug","9","a",-4.58043927163507
"246","N17",1187.6322,"drug","9","a",-5.93204430260935
"247","O17",1208.6706,"drug","9","a",-5.70677679744697
"248","P17",1433.0802,"drug","9","a",-3.30392340904825
"249","A18",1222.6962,"drug","9","a",-5.55659846067205
"250","B18",1047.3762,"drug","9","a",-7.43382767035855
"251","C18",963.2226,"drug","9","a",-8.33489769100807
"252","D18",1005.2994,"drug","9","a",-7.88436268068331
"253","E18",1019.325,"drug","9","a",-7.73418434390839
"254","F18",1138.5426,"drug","9","a",-6.45766848132157
"255","G18",949.197,"drug","9","a",-8.48507602778299
"256","H18",844.005,"drug","9","a",-9.6114135535949
"257","I18",1243.7346,"drug","9","a",-5.33133095550967
"258","J18",1187.6322,"drug","9","a",-5.93204430260935
"259","K18",1348.9266,"drug","9","a",-4.20499342969777
"260","L18",1285.8114,"drug","9","a",-4.88079594518491
"261","M18",1383.9906,"drug","9","a",-3.82954758776047
"262","N18",1292.8242,"drug","9","a",-4.80570677679745
"263","O18",1580.349,"drug","9","a",-1.72705087291159
"264","P18",1776.7074,"drug","9","a",0.375445841937299
"265","A19",1860.861,"drug","9","a",1.27651586258682
"266","B19",1264.773,"drug","9","a",-5.10606345034729
"267","C19",1047.3762,"drug","9","a",-7.43382767035855
"268","D19",1215.6834,"drug","9","a",-5.63168762905951
"269","E19",836.9922,"drug","9","a",-9.68650272198236
"270","F19",1208.6706,"drug","9","a",-5.70677679744697
"271","G19",1117.5042,"drug","9","a",-6.68293598648395
"272","H19",794.9154,"drug","9","a",-10.1370377323071
"273","I19",1026.3378,"drug","9","a",-7.65909517552093
"274","J19",1166.5938,"drug","9","a",-6.15731180777173
"275","K19",801.9282,"drug","9","a",-10.0619485639197
"276","L19",1348.9266,"drug","9","a",-4.20499342969777
"277","M19",1306.8498,"drug","9","a",-4.65552844002253
"278","N19",1173.6066,"drug","9","a",-6.08222263938427
"279","O19",942.1842,"drug","9","a",-8.56016519617046
"280","P19",1426.0674,"drug","9","a",-3.37901257743571
"281","A20",1236.7218,"drug","9","a",-5.40642012389713
"282","B20",1250.7474,"drug","9","a",-5.25624178712221
"283","C20",921.1458,"drug","9","a",-8.78543270133284
"284","D20",1278.7986,"drug","9","a",-4.95588511357237
"285","E20",1040.3634,"drug","9","a",-7.50891683874601
"286","F20",1089.453,"drug","9","a",-6.98329266003379
"287","G20",1264.773,"drug","9","a",-5.10606345034729
"288","H20",752.8386,"drug","9","a",-10.5875727426319
"289","I20",836.9922,"drug","9","a",-9.68650272198236
"290","J20",766.8642,"drug","9","a",-10.437394405857
"291","K20",633.621,"drug","9","a",-11.8640886052187
"292","L20",1152.5682,"drug","9","a",-6.30749014454665
"293","M20",1096.4658,"drug","9","a",-6.90820349164633
"294","N20",682.7106,"drug","9","a",-11.3384644265065
"295","O20",1173.6066,"drug","9","a",-6.08222263938427
"296","P20",1643.4642,"drug","9","a",-1.05124835742444
"297","A21",1650.477,"drug","9","a",-0.976159189036982
"298","B21",1117.5042,"drug","9","a",-6.68293598648395
"299","C21",914.133,"drug","9","a",-8.86052186972029
"300","D21",921.1458,"drug","9","a",-8.78543270133284
"301","E21",1005.2994,"drug","9","a",-7.88436268068331
"302","F21",1068.4146,"drug","9","a",-7.20856016519617
"303","G21",1229.709,"drug","9","a",-5.48150929228459
"304","H21",1145.5554,"drug","9","a",-6.38257931293411
"305","I21",914.133,"drug","9","a",-8.86052186972029
"306","J21",1271.7858,"drug","9","a",-5.03097428195983
"307","K21",1201.6578,"drug","9","a",-5.78186596583443
"308","L21",1320.8754,"drug","9","a",-4.50535010324761
"309","M21",787.9026,"drug","9","a",-10.2121269006946
"310","N21",977.2482,"drug","9","a",-8.18471935423315
"311","O21",1152.5682,"drug","9","a",-6.30749014454665
"312","P21",1853.8482,"drug","9","a",1.20142669419936
"313","A22",2022.1554,"drug","9","a",3.0035667354984
"314","B22",1355.9394,"drug","9","a",-4.12990426131031
"315","C22",942.1842,"drug","9","a",-8.56016519617046
"316","D22",942.1842,"drug","9","a",-8.56016519617046
"317","E22",1573.3362,"drug","9","a",-1.80214004129904
"318","F22",1426.0674,"drug","9","a",-3.37901257743571
"319","G22",1447.1058,"drug","9","a",-3.15374507227333
"320","H22",1131.5298,"drug","9","a",-6.53275764970903
"321","I22",1292.8242,"drug","9","a",-4.80570677679745
"322","J22",1341.9138,"drug","9","a",-4.28008259808523
"323","K22",907.1202,"drug","9","a",-8.93561103810776
"324","L22",1089.453,"drug","9","a",-6.98329266003379
"325","M22",1215.6834,"drug","9","a",-5.63168762905951
"326","N22",1243.7346,"drug","9","a",-5.33133095550967
"327","O22",514.4034,"drug","9","a",-13.1406044678055
"328","P22",1664.5026,"drug","9","a",-0.825980852262063
"329","A23",2204.4882,"drug","9","a",4.95588511357236
"330","B23",1264.773,"drug","9","a",-5.10606345034729
"331","C23",1222.6962,"drug","9","a",-5.55659846067205
"332","D23",984.261,"drug","9","a",-8.10963018584569
"333","E23",1103.4786,"drug","9","a",-6.83311432325887
"334","F23",1405.029,"drug","9","a",-3.60428008259809
"335","G23",1797.7458,"drug","9","a",0.600713347099678
"336","H23",542.4546,"drug","9","a",-12.8402477942557
"337","I23",1391.0034,"drug","9","a",-3.75445841937301
"338","J23",1313.8626,"drug","9","a",-4.58043927163507
"339","K23",1482.1698,"drug","9","a",-2.77829923033603
"340","L23",1790.733,"drug","9","a",0.525624178712219
"341","M23",724.7874,"drug","9","a",-10.8879294161817
"342","N23",886.0818,"drug","9","a",-9.16087854327013
"343","O23",1278.7986,"drug","9","a",-4.95588511357237
"344","P23",1341.9138,"drug","9","a",-4.28008259808523
"345","A24",3053.037,"drug","9","a",14.041674488455
"346","B24",2043.1938,"drug","9","a",3.22883424066078
"347","C24",1433.0802,"drug","9","a",-3.30392340904825
"348","D24",1720.605,"drug","9","a",-0.225267505162382
"349","E24",1629.4386,"drug","9","a",-1.20142669419936
"350","F24",1846.8354,"drug","9","a",1.1263375258119
"351","G24",1860.861,"drug","9","a",1.27651586258682
"352","H24",1391.0034,"drug","9","a",-3.75445841937301
"353","I24",1489.1826,"drug","9","a",-2.70321006194856
"354","J24",1622.4258,"drug","9","a",-1.27651586258682
"355","K24",1994.1042,"drug","9","a",2.70321006194856
"356","L24",1994.1042,"drug","9","a",2.70321006194856
"357","M24",2099.2962,"drug","9","a",3.82954758776047
"358","N24",2239.5522,"drug","9","a",5.33133095550967
"359","O24",1916.9634,"drug","9","a",1.8772292096865
"360","P24",1945.0146,"drug","9","a",2.17758588323634
