plate	replicate	mean_pos	mean_neg	std_pos	std_neg	zprime
2	a	100	-8.32667268468867e-16	6.75454985081136	3.16531179954199	0.7024041504894
2	b	100	-2.22044604925031e-16	3.02764545204105	2.46122937139701	0.835333755296858
3	a	100	-1.66533453693773e-16	13.704526262257	3.48680837882628	0.484259960767501
3	b	100	-4.57966997657877e-16	14.7106570857846	2.41681973457401	0.486175695389242
4	a	100	-4.16333634234434e-16	8.23946374968447	1.42150513642507	0.710170933416714
4	b	100	5.55111512312578e-16	10.7826401213921	2.58277352676118	0.599037590555403
5	a	100	0	7.61342198695296	2.93725701778768	0.683479629857781
5	b	100	1.77635683940025e-15	9.62100197389337	3.46886551904432	0.60730397521187
6	a	100	-1.0547118733939e-15	7.72115290877828	5.09915096961598	0.615390883648172
6	b	100	6.93889390390723e-17	8.95773760734516	3.06541259211535	0.639305494016185
7	a	100	5.55111512312578e-17	6.22374064114685	4.0802942848251	0.690878952220842
7	b	100	-8.88178419700125e-16	5.37822498446455	3.65914446871002	0.728878916404763
8	a	100	-5.55111512312578e-17	24.674368472508	2.64538516697962	0.180407390815372
9	a	100	-4.9960036108132e-16	4.1773587548785	3.01044204032001	0.784365976144045
9	b	100	-5.55111512312578e-17	8.6736571985574	2.82856316589846	0.654933389066324
10	a	100	6.93889390390723e-18	11.109801165456	2.33330981411463	0.596706670612883
10	b	100	8.32667268468867e-17	11.437276587168	2.89319947111691	0.570085718251454
11	a	100	4.44089209850063e-16	7.38169195386666	4.7763629003034	0.635258354374898
11	b	100	8.88178419700125e-16	11.7078806434774	4.34966057683338	0.518273763390678
12	a	100	-5.96744875736022e-16	8.33988768743357	3.31405301595244	0.65038177889842
12	b	100	-6.00214322687975e-16	6.4788075202556	0.818023873615666	0.781095058183862
13	a	100	2.22044604925031e-16	17.1623823491724	6.72234579979927	0.283458155530849
13	b	100	2.74086309204336e-16	19.7019129460042	0.777636102472455	0.3856135285457
14	a	100	2.0122792321331e-16	17.2783609205398	0.968369437173131	0.452598089268613
14	b	100	-2.77555756156289e-16	14.9306890923332	1.20155800628947	0.516032587041321
15	a	100	1.38777878078145e-16	11.3283434226563	2.13913039654769	0.59597578542388
15	b	100	3.33066907387547e-16	9.61361521252007	1.10996793597496	0.678292505545149
