plate	mean_pos	mean_neg	std_pos	std_neg	zprime
2	100	-5.27355936696949e-16	4.84578966012295	2.6248958189079	0.775879435629074
3	100	-3.12250225675825e-16	13.1619170114024	2.77737159662664	0.521821341759128
4	100	6.93889390390723e-17	8.88387200500721	1.92999584863594	0.675583964390706
5	100	8.88178419700125e-16	8.03193287535302	2.97565167732267	0.669772463419729
6	100	-4.92661467177413e-16	7.74201704843995	3.89494699968534	0.650891078556242
7	100	-4.16333634234434e-16	5.38490953174232	3.58796438668825	0.730813782447083
8	100	-5.55111512312578e-17	24.674368472508	2.64538516697962	0.180407390815372
9	100	-2.77555756156289e-16	6.30247078641317	2.70424514381188	0.729798522093249
10	100	4.5102810375397e-17	10.4383696934643	2.43324632083338	0.613851519571069
11	100	6.66133814775094e-16	9.06083830709368	4.22914326121497	0.60130055295074
12	100	-5.98479599211998e-16	6.91360997877767	2.23467259829667	0.72555152268777
13	100	2.48065457064683e-16	17.1052966938537	4.43015563866944	0.353936430024305
14	100	-3.81639164714898e-17	14.9494467103399	1.01026467734154	0.521208658369556
15	100	2.35922392732846e-16	9.72668557899286	1.5776892241947	0.660868755904374
